text,cleaned_text,label
"i really dont understand how people find this show funny. maybe back in the day it was something hot, but now its not",really not understand people find show funny maybe back day something hot not,0
"I saw this movie in a trip and it is one of the worst movies I have seen during the last two years. Stupid, stupid and stupid. Ryan Reynolds becomes annoying.

If you have brain, never watch this movi",saw movie trip one worst movie seen last two year stupid stupid stupid ryan reynolds becomes annoying brain never watch movi,0
"All of us have a dark side.  Unfortunately AUTO FOCUS focuses on this small subset of actor Bob Crane's life and expands it out of proportion.  In doing so the movie reduces the other voluminous and interesting aspects of Crane's life and career as window dressing.  Even the screenplay is, at best, an uneducated guess at the evening escapades of Bob Crane and John H. Carpernter  -- since both are deceased with the former murdered and the latter the twice-accused murder suspect.

In viewing this film I knew that it would involve some of Crane's extracurricular activities.  My interest in the film was as a HOGAN'S HEROES fan and hopeful that the movie would spend more time on the back stage politics and production of the successful six-year series.  Bob Crane's professional credits alone would make for a good film.  AUTO FOCUS unfortunately revolves around Crane's so-called ""secret life"" and is little more than a product for the risque film crowd.

Facts are facts and there are established truths about Bob Crane's private life.  AUTO FOCUS, however, should be approached as a fictionalized story straight out of a grocery store scandal magazine.  You are better off spending your time and money buying the DVD releases of the HOGAN'S HEROES television series.",u dark side unfortunately auto focus focus small subset actor bob crane life expands proportion movie reduces voluminous interesting aspect crane life career window dressing even screenplay best uneducated guess evening escapade bob crane john carpernter since deceased former murdered latter twice accused murder suspect viewing film knew would involve crane extracurricular activity interest film hogan hero fan hopeful movie would spend time back stage politics production successful six year series bob crane professional credit alone would make good film auto focus unfortunately revolves around crane called secret life little product risque film crowd fact fact established truth bob crane private life auto focus however approached fictionalized story straight grocery store scandal magazine better spending time money buying dvd release hogan hero television series,0
"Farberware 18/10 stainless steel cookware is a good line. I had this cookware at one time, and I can recommend it, especially for use on gas burners. Unlike Calphalon cookware, it can go in the dishwasher. However, to keep the finish gleaming, you might need to scrub the pots and pans frequently with cleanser and scouring pads. The 8-Quart Stockpot with Lid is a kitchen essential",farberware 18 10 stainless steel cookware good line cookware one time recommend especially use gas burner unlike calphalon cookware go dishwasher however keep finish gleaming might need scrub pot pan frequently cleanser scouring pad quart stockpot lid kitchen essential,1
"I loved my little Seagate 5.0GB drive, even after the first one crashed and burned. But the second time, I cannot forgive. I carried it everywhere in my pocket, and maybe that was part of the problem, but if it can't handle that then it is no good to me. Solid state memory, here I come",loved little seagate 0gb drive even first one crashed burned second time not forgive carried everywhere pocket maybe part problem not handle no good solid state memory come,0
"While I did find the book informative and a good supplement to Robert Sobel's The Great Bull Market: Wall Street in the 1920s, Galbraith interjects his sarcastic view of the participants in the 1920s Bull Market way too much. This makes parts of the book extremely difficult to read. While I persevered to the end, I fouynd Sobel's account as informative and much more enjoyable to read",find book informative good supplement robert sobel great bull market wall street 1920s galbraith interjects sarcastic view participant 1920s bull market way much make part book extremely difficult read persevered end fouynd sobel account informative much enjoyable read,0
"This stick is fantastic for high resolution photos and is lightning quick. Do you need the extra speed the MSX-M1GN gives you? Maybe, maybe not. But at least you have it when and if you need the feature. Highly recommend it for the money.",stick fantastic high resolution photo lightning quick need extra speed msx m1gn give maybe maybe not least need feature highly recommend money,1
"This book is inexplicably influential, probably due to its catchy but ultimately meaningless title. Barber fails to convincingly analyze an interesting thesis, instead delivering an exasperating 300 page-long list of every single thing on Earth that he disagrees with. Barber contends that natural human political behavior results in smaller and smaller ethnic enclaves trying to separate themselves from the larger world, while unchecked global capitalism is erasing ethnic flavor with bowdlerized mass-culture sameness. Interestingly, Barber contends that these two contrary movements are actually in an unholy alliance, using each other's excesses as excuses for their anti-democratic behavior. That is a fascinating thesis, which makes the weaknesses of this book all the more infuriating. 

The first part of the book is an interminable tirade of lists within lists, of cultural trends that Barber disdains, in an avalanche of complaints that is not analytical but merely selective and arbitrary. It's all tied together with attempts at ""edgy"" pop culture references, made-up terminology (like the annoying ""infotainment telesector""), and pseudo-intellectual quotations and namedropping. All is lumped together unconvincingly under the anemic term ""McWorld,"" which is so vague and all-inclusive as to become meaningless. In his never-ending examples of how recent cultural trends are damaging the freedom and intelligence of the masses, Barber merely comes across as a condescending snob who thinks his own interests are superior, or a curmudgeon who thinks everything was better back in the good old days, or both. In the second part of the book, Barber proceeds to throw obtuse political science theories at various world hotspots, in which tribalism and separatism are damaging the integrity of nation-states. His umbrella term for this phenomenon is the dangerously loaded term ""Jihad."" Note that this book was published back in 1995, so that word was not as prevalent in Western discourse as it is now, but Barber still uses the term as a loose descriptor which is likely to offend both devout Muslims and ardent anti-Islamists.

When it comes to the specifics, many reviews here and elsewhere list out the numerous flaws in Barber's arguments, and there are so many of them that a lot of reviews are necessary for the task. You can agree or disagree with various critiques of Barber's contentions based on your own personal politics. But everyone will probably conclude that in this book's final section he does not deliver on the ironic implications of his initially intriguing thesis (embodied in the book's title), and simply forwards borrowed theories on civil society and the public sector. Overall, this book is mostly the longwinded grumblings of a nostalgic know-it-all who portentously predicts doom for every single cultural and political reality of the modern world. [~doomsdayer520~",book inexplicably influential probably due catchy ultimately meaningless title barber fails convincingly analyze interesting thesis instead delivering exasperating 300 page long list every single thing earth disagrees barber contends natural human political behavior result smaller smaller ethnic enclave trying separate larger world unchecked global capitalism erasing ethnic flavor bowdlerized mass culture sameness interestingly barber contends two contrary movement actually unholy alliance using excess excuse anti democratic behavior fascinating thesis make weakness book infuriating first part book interminable tirade list within list cultural trend barber disdain avalanche complaint not analytical merely selective arbitrary tied together attempt edgy pop culture reference made terminology like annoying infotainment telesector pseudo intellectual quotation namedropping lumped together unconvincingly anemic term mcworld vague inclusive become meaningless never ending example recent cultural trend damaging freedom intelligence mass barber merely come across condescending snob think interest superior curmudgeon think everything better back good old day second part book barber proceeds throw obtuse political science theory various world hotspot tribalism separatism damaging integrity nation state umbrella term phenomenon dangerously loaded term jihad note book published back 1995 word not prevalent western discourse barber still us term loose descriptor likely offend devout muslim ardent anti islamist come specific many review elsewhere list numerous flaw barber argument many lot review necessary task agree disagree various critique barber contention based personal politics everyone probably conclude book final section not deliver ironic implication initially intriguing thesis embodied book title simply forward borrowed theory civil society public sector overall book mostly longwinded grumbling nostalgic know portentously predicts doom every single cultural political reality modern world doomsdayer520,0
I LOVE THIS BREADMAKER! IT IS SO EASY TO USE AND MAKES DELICIOUS LOAVES OF BREAD. IT DOESN'T TAKE UP A LOT OF SPACE IN THE KITCHEN AND ALL OF MY ROOMMATES LOVE USING IT TOO. SUPER AWESOME,love breadmaker easy use make delicious loaf bread not take lot space kitchen roommate love using super awesome,1
"""By a hypnotism that defies explanation--at least by a non-German--Hitler held the allegiance and trust of this remarkable people to the last.  It was inevitable that they would follow him blindly, like dumb cattle but also with a touching faith and even an enthusiasm that raised them above the animal herd, over the precipice to the destruction of the nation.""

This remarkable book is based principally on the captured German documents, the interrogations and testimony at the Nuremberg trials of German military officers and civilian officials, the diaries and memoirs which some of them have left, and on Shirer's experience in the Third Reich.  Shirer became one of the most respected journalists in wartime Europe.

The book is exhaustive and detailed with extensive notes and bibliography.  A bit of patience is needed to get through the dialect, often quoting Mein Kampf.  Shirer brings forth wonderful descriptions of the people who played a role in those troubled times.  The individual battles are not detailed, so one will need to refer to other sources for a more detailed look at these battles and horrors that ensued.  This is an important book for those interested in Germany and life in the Third Reich at this time. 

The Reich rises with a quick run through of Hitler's youth and the German history, then the politics and Hitler's megalomania that led to national socialism and the rise to dictatorship.  The Treaty of Versais and the fall of the mark lead to Germany's economic fall, allowing for the people to welcome in a dictatorship, a new messiah by deceit.  The military buildup could now begin.   The coups to overthrow Hitler and the Nazis had already failed and will continue to fail throughout the war.  For the officers it was either death by Hitler or death by fighting.  The massacres of the Russians began soon after the invasion of the East.  The French and other countries were also caught up in the massacre, and William gives us the eyewitness reports.  The ""Jewish cleansing"" started soon after the nazis took over their first countries. The Nazis kept developing more and more efficient means of extermination and experimentation.  There is an exhaustive lead up to the start of W.W.II, the invasion of Poland.  There was freighting information discovered on what would have been in store for Britain if invaded, not to mention the world and the slaughter of Russia.  The Nazi's pinnacle arrives at about 2/3 of the way through the book where the fall begins with the Allied advance.

It took military action eventually to stop Hitler's ""New world order"", not the people.  The lack of doing anything to stop Hitler from walking into the Rhineland should not be forgotten.  Does not the blame fall partly on the people, Chamberlain, and the military generals?  Maybe if more would have read Mein Kampf, and not disregarded it's contents millions would not have lost their lives.  The Nazi propaganda took over the press, and soon indoctrinated the German people.  There were many opportunities to stop Hitler by France and Britain early on.  Have we not learned anything from the past?  Is there not a parallel in our country?

""The Germans imposed the Nazi tyranny on themselves.""

Hegel was one of the many influences on Hitler and Marx. Hegel and Marxism is still very much alive today in humanism, nationalism, ""supreme state"", racism,  and mysticism",hypnotism defies explanation least non german hitler held allegiance trust remarkable people last inevitable would follow blindly like dumb cattle also touching faith even enthusiasm raised animal herd precipice destruction nation remarkable book based principally captured german document interrogation testimony nuremberg trial german military officer civilian official diary memoir left shirer experience third reich shirer became one respected journalist wartime europe book exhaustive detailed extensive note bibliography bit patience needed get dialect often quoting mein kampf shirer brings forth wonderful description people played role troubled time individual battle not detailed one need refer source detailed look battle horror ensued important book interested germany life third reich time reich rise quick run hitler youth german history politics hitler megalomania led national socialism rise dictatorship treaty versais fall mark lead germany economic fall allowing people welcome dictatorship new messiah deceit military buildup could begin coup overthrow hitler nazi already failed continue fail throughout war officer either death hitler death fighting massacre russian began soon invasion east french country also caught massacre william give u eyewitness report jewish cleansing started soon nazi took first country nazi kept developing efficient mean extermination experimentation exhaustive lead start ii invasion poland freighting information discovered would store britain invaded not mention world slaughter russia nazi pinnacle arrives way book fall begin allied advance took military action eventually stop hitler new world order not people lack anything stop hitler walking rhineland not forgotten not blame fall partly people chamberlain military general maybe would read mein kampf not disregarded content million would not lost life nazi propaganda took press soon indoctrinated german people many opportunity stop hitler france britain early not learned anything past not parallel country german imposed nazi tyranny hegel one many influence hitler marx hegel marxism still much alive today humanism nationalism supreme state racism mysticism,1
